Tref K Na HCl Fe H2S CO H2 KCl(s) NaCl(s) FeS(s) C(s) H2O Zn ZnS(s) NaCl
# Gibbs formation energt at 1bar. The unit is kJ/mol. From janaf.nist.gov.
500 43 58 -97 339 -40 -155 0 -389 -365 -102 0 -219 71 -196 -213
600 35 49 -98 324 -42 -164 0 -379 -355 -103 0 -214 60 -193 -218
700 26 40 -99 309 -44 -174 0 -370 -346 -104 0 -209 48 -190 -224
800 19 31 -99 294 -46 -182 0 -360 -337 -104 0 -203 38 -186 -228
900 11 23 -100 279 -46 -191 0 -351 -328 -103 0 -198 28 -181 -233
1000 3 14 -101 265 -41 -200 0 -341 -319 -98 0 -192 18 -170 -238
1100 0 6 -101 250 -36 -209 0 -329 -311 -92 0 -187 8 -160 -243
1200 0 0 -102 236 -31 -218 0 -315 -302 -86 0 -181 0 -148 -245
1300 0 0 -103 223 -26 -226 0 -302 -288 -80 0 -176 0 -128 -241
1400 0 0 -103 209 -21 -235 0 -288 -274 -74 0 -170 0 -108 -237
1500 0 0 -104 196 -16 -244 0 -275 -261 -69 0 -164 0 -88 -233
