# 
# runname = 'GJ1214'; g = 1.0650e+03; mgas = 8.3027e-24; rho_int = 2.8000e+00; an = 1.0000e-07; mn0 = 1.1729e-20; f_stick = 1.0000e+00; T_star = 3.1100e+03; cs_com = 8.0000e-15; cs_mol = 2.0000e-15; Pref = 1.0000e+06; R_star = 1.5040e+10; Rp = 1.7516e+09; rp = 2.2290e+11; gibbsfile = '/home/helong/ARCiS/code/tables/gibbs_test.txt'; rootdir = '/home/helong/ARCiS/code'; 
# 2Na + 2HCl -> 2NaCl(s) + H2; 2K + 2HCl -> 2KCl(s) + H2; Zn + H2S -> ZnS(s) + H2; 2Na + H2S -> Na2S(s) + H2; 
#cols::logP T(K) rhop(gcm-3) ap(cm) Sn NaCl(s) KCl(s) ZnS(s) Na2S(s) Na HCl K Zn H2S nuclei
  2.0983e-01  5.0415e+02  2.0234e+00  3.0829e-06 3.0744e-104  2.0454e-20  3.3825e-15  8.6953e-15  4.9378e-14  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.9027e-18
  2.3051e-01  5.0415e+02  2.0234e+00  3.0829e-06 2.2789e-103  3.0744e-20  5.0842e-15  1.3070e-14  7.4222e-14  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  4.3631e-18
  2.5119e-01  5.0416e+02  2.0234e+00  3.0829e-06 1.6713e-102  4.5844e-20  7.5813e-15  1.9489e-14  1.1067e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  6.5060e-18
  2.7187e-01  5.0416e+02  2.0234e+00  3.0829e-06 1.2127e-101  6.7848e-20  1.1220e-14  2.8844e-14  1.6380e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  9.6288e-18
  2.9255e-01  5.0416e+02  2.0234e+00  3.0829e-06 8.7050e-101  9.9701e-20  1.6488e-14  4.2385e-14  2.4069e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.4149e-17
  3.1324e-01  5.0416e+02  2.0234e+00  3.0829e-06 6.1824e-100  1.4550e-19  2.4062e-14  6.1857e-14  3.5127e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.0649e-17
  3.3392e-01  5.0416e+02  2.0234e+00  3.0829e-06  4.3442e-99  2.1094e-19  3.4883e-14  8.9674e-14  5.0923e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.9935e-17
  3.5460e-01  5.0416e+02  2.0234e+00  3.0829e-06  3.0200e-98  3.0381e-19  5.0242e-14  1.2916e-13  7.3345e-13  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  4.3116e-17
  3.7528e-01  5.0416e+02  2.0234e+00  3.0829e-06  2.0771e-97  4.3480e-19  7.1903e-14  1.8484e-13  1.0497e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  6.1705e-17
  3.9597e-01  5.0417e+02  2.0234e+00  3.0829e-06  1.4134e-96  6.1839e-19  1.0226e-13  2.6289e-13  1.4929e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  8.7759e-17
  4.1665e-01  5.0417e+02  2.0234e+00  3.0829e-06  9.5158e-96  8.7411e-19  1.4455e-13  3.7161e-13  2.1102e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.2405e-16
  4.3733e-01  5.0417e+02  2.0234e+00  3.0829e-06  6.3382e-95  1.2282e-18  2.0310e-13  5.2212e-13  2.9650e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.7430e-16
  4.5801e-01  5.0417e+02  2.0234e+00  3.0829e-06  4.1768e-94  1.7154e-18  2.8368e-13  7.2925e-13  4.1412e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.4344e-16
  4.7870e-01  5.0417e+02  2.0234e+00  3.0829e-06  2.7232e-93  2.3820e-18  3.9391e-13  1.0126e-12  5.7504e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  3.3804e-16
  4.9938e-01  5.0417e+02  2.0234e+00  3.0829e-06  1.7566e-92  3.2886e-18  5.4383e-13  1.3980e-12  7.9391e-12  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  4.6670e-16
  5.2006e-01  5.0417e+02  2.0234e+00  3.0829e-06  1.1210e-91  4.5146e-18  7.4658e-13  1.9192e-12  1.0899e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  6.4069e-16
  5.4074e-01  5.0418e+02  2.0234e+00  3.0829e-06  7.0782e-91  6.1632e-18  1.0192e-12  2.6201e-12  1.4879e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  8.7466e-16
  5.6142e-01  5.0418e+02  2.0234e+00  3.0829e-06  4.4216e-90  8.3678e-18  1.3838e-12  3.5573e-12  2.0201e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.1875e-15
  5.8211e-01  5.0418e+02  2.0234e+00  3.0829e-06  2.7327e-89  1.1300e-17  1.8686e-12  4.8037e-12  2.7279e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  1.6036e-15
  6.0279e-01  5.0418e+02  2.0234e+00  3.0829e-06  1.6709e-88  1.5178e-17  2.5099e-12  6.4524e-12  3.6641e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.1540e-15
  6.2347e-01  5.0418e+02  2.0234e+00  3.0829e-06  1.0108e-87  2.0280e-17  3.3537e-12  8.6215e-12  4.8959e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  2.8781e-15
  6.4415e-01  5.0418e+02  2.0234e+00  3.0829e-06  6.0501e-87  2.6958e-17  4.4581e-12  1.1461e-11  6.5081e-11  7.3959e-15  1.8966e-17  2.7955e-05  3.3686e-18  7.6148e-03  3.8258e-15
  6.6484e-01  5.0419e+02  2.0234e+00  3.0829e-06  3.5826e-86  3.5654e-17  5.8961e-12  1.5157e-11  8.6073e-11  7.3959e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  5.0598e-15
  6.8552e-01  5.0419e+02  2.0234e+00  3.0829e-06  2.0989e-85  4.6919e-17  7.7590e-12  1.9946e-11  1.1327e-10  7.3959e-15  1.8965e-17  2.7955e-05  3.3686e-18  7.6148e-03  6.6585e-15
