logP MgSiO3(s) Mg2SiO4(s) SiO2(s) MgO(s) FeO(s) FeS(s) Fe2O3(s) Fe(s) TiO2(s) Al2O3(s) Mg SiO H2O Fe H2S TiO Al nuclei
0.0 8.101041068736702e-18 2.4723647021918014e-19 1.4737769966857174e-16 1.636491049867041e-17 1.8648520550181822e-23 6.12657252838813e-19 7.097437477993338e-42 5.820808594106648e-17 4.752549116429241e-16 6.804081429344384e-15 6.839552786562625e-05 0.0003174749512520542 1.3358385329995334e-06 8.027697664360339e-08 0.0007992980845511904 1.1474844577093061e-14 3.8276455019153165e-12 4.652046805895625e-15
0.020355734078161745 1.1485150642732102e-17 3.50378752924069e-19 2.0891996343540898e-16 2.320104089721129e-17 2.6439894640029825e-23 8.685865903221163e-19 1.0062914013738244e-41 8.250405585596605e-17 6.730730659793163e-16 9.636140009607931e-15 6.839552786562625e-05 0.0003174749512520542 1.3358385329995334e-06 8.027697664360339e-08 0.0007992980845511904 1.1474844577093061e-14 3.8276455019153165e-12 6.5831251571117746e-15
0.04071146815632356 1.644906914655824e-17 5.123296223623944e-19 2.934208628710583e-16 3.2576084893744534e-17 3.712392029649509e-23 1.2195866297991185e-18 1.441904656129783e-41 1.1598964207746024e-16 9.404673167882908e-16 1.346480708645889e-14 6.839552786562609e-05 0.00031747495125205325 1.3358385329983522e-06 8.027697664306136e-08 0.0007992980845511904 1.1474844293853427e-14 3.8276448549348606e-12 9.219969324462337e-15
0.06106720223448541 2.3398435465850043e-17 7.437464290514142e-19 4.0892263598316574e-16 4.5406771235674166e-17 5.1748660512848856e-23 1.699882035241914e-18 2.0511597147377125e-41 1.6165009769404515e-16 1.297179479981459e-15 1.857284906525035e-14 6.839552786562568e-05 0.0003174749512520504 1.3358385329953522e-06 8.027697664172414e-08 0.0007992980845511904 1.1474843607656552e-14 3.827643309944488e-12 1.2789640585075159e-14
0.0814229363126473 3.302086636025031e-17 1.0711508143546963e-18 5.653743599114681e-16 6.279144856540601e-17 7.15640135604476e-23 2.3506385605401342e-18 2.8947487767575543e-41 2.2325505295052286e-16 1.7667343600786895e-15 2.52970733698642e-14 6.839552786562495e-05 0.00031747495125204495 1.335838532989782e-06 8.027697663924676e-08 0.0007992980845511904 1.1474842355827875e-14 3.827640535434232e-12 1.758265387325305e-14
0.10177867039080911 4.6208240626737034e-17 1.5296871961560949e-18 7.751365731954665e-16 8.610195809565756e-17 9.813365527152677e-23 3.2232060197511208e-18 4.0508715989444475e-41 3.054845277685658e-16 2.376355069087825e-15 3.402697964159458e-14 6.839552786562375e-05 0.00031747495125203574 1.3358385329806789e-06 8.027697663516821e-08 0.0007992980845511904 1.1474840320591068e-14 3.827636099857946e-12 2.3966408027463966e-14
0.12213440446897088 6.409747385284271e-17 2.1654382099741112e-18 1.053455720784309e-15 1.170354648133004e-16 1.3339289322077868e-22 4.3811053650615675e-18 5.619238623763524e-41 4.1408126942640926e-16 3.1568332340994094e-15 4.5202741848917875e-14 6.839552786562194e-05 0.0003174749512520214 1.3358385329668009e-06 8.027697662888744e-08 0.0007992980845511903 1.1474837214819794e-14 3.827629449497475e-12 3.2401235809817006e-14
0.14249013854713266 8.812450409683198e-17 3.03824124169366e-18 1.4189974882272061e-15 1.5767272074112502e-16 1.7971540745428162e-22 5.902212953128456e-18 7.725848019605806e-41 5.560499565035097e-16 4.142577078114899e-15 5.931574721154665e-14 6.839552786561927e-05 0.0003174749512520003 1.335838532946596e-06 8.027697661963712e-08 0.0007992980845511903 1.1474832665744337e-14 3.827619884094731e-12 4.346014714592252e-14
0.1628458726252945 1.2008908878225431e-16 4.225235545270659e-18 1.894470528055521e-15 2.1054518569524123e-16 2.3999066465927527e-22 7.881294642317054e-18 1.0528670778713576e-40 7.39901556796972e-16 5.3718480002748426e-15 7.691185359649065e-14 6.839552786561549e-05 0.0003174749512519704 1.3358385329181882e-06 8.02769766064519e-08 0.0007992980845511902 1.1474826196475498e-14 3.827606530275702e-12 5.785254003243654e-14
0.18320160670345623 1.6222976314559126e-16 5.825067872533265e-18 2.5073208830628177e-15 2.7871007643439297e-16 3.177096447660597e-22 1.0432797148963056e-17 1.4224320473813918e-40 9.759190034081119e-16 6.8869456013279555e-15 9.859390247265582e-14 6.839552786561032e-05 0.0003174749512519295 1.335838532879341e-06 8.027697658812612e-08 0.0007992980845511902 1.1474817204984769e-14 3.827588312471573e-12 7.645128097315328e-14
0.20355734078161797 2.173060995811278e-16 7.962737506308935e-18 3.29047020318937e-15 3.6582779902668554e-16 4.1704242130366297e-22 1.3693771608677763e-17 1.905489074095548e-40 1.2764206639039786e-15 8.734062122343526e-15 1.2501945379427958e-13 6.83955278656034e-05 0.0003174749512518748 1.335838532827386e-06 8.027697656315832e-08 0.0007992980845511901 1.1474804940141558e-14 3.827563921063761e-12 1.0032241732767693e-13
0.22391307485977976 2.887000429451496e-16 1.0795827478307073e-17 4.2830989372804406e-15 4.762525510354014e-16 5.429543492176026e-22 1.7827241182437147e-17 2.531701391767379e-40 1.6560175267144879e-15 1.0962688138281197e-14 1.5689202562620093e-13 6.839552786559429e-05 0.0003174749512518031 1.3358385327590953e-06 8.027697652968201e-08 0.0007992980845511899 1.1474788474596784e-14 3.827531777843667e-12 1.3075719463096577e-13
0.2442688089379416 3.8052529449633046e-16 1.4521442166579734e-17 5.531456155531498e-15 6.151239904870031e-16 7.013044398695839e-22 2.302561858402534e-17 3.337146797220229e-40 2.1318718912156218e-15 1.3624541864537735e-14 1.9494542113821941e-13 6.839552786558249e-05 0.0003174749512517105 1.3358385326705397e-06 8.027697648538634e-08 0.0007992980845511897 1.1474766674549122e-14 3.82748999922772e-12 1.6930646807951227e-13
0.26462454301610344 4.977494180511871e-16 1.9384379851827073e-17 7.089688226296421e-15 7.884623528067538e-16 8.989535027636851e-22 2.9514212800751923e-17 4.365386412263351e-40 2.7239651071380155e-15 1.6772068093029547e-14 2.3992179553111855e-13 6.83955278655673e-05 0.00031747495125159175 1.335838532556942e-06 8.027697642743027e-08 0.0007992980845511894 1.1474738166711885e-14 3.827436358014318e-12 2.1781755054255351e-13
0.2849802770942652 6.463265241272444e-16 2.568656824386489e-17 9.0206712783707e-15 1.0032632865774876e-15 1.1438743123211313e-21 3.7554762133945035e-17 5.668624021334455e-40 3.455377700965554e-15 2.04565439822966e-14 2.925439899961459e-13 6.839552786554785e-05 0.00031747495125144094 1.3358385324125396e-06 8.027697635235421e-08 0.0007992980845511892 1.1474701303042084e-14 3.827368244711406e-12 2.784733157453446e-13
0.30533601117242704 8.333402857601254e-16 3.379780121856824e-17 1.1396839200010255e-14 1.2675908570132758e-15 1.4452598944478068e-21 4.744894224852749e-17 7.30896022355631e-40 4.352587225073459e-15 2.4725880496429987e-14 3.534834061845803e-13 6.839552786552315e-05 0.00031747495125125045 1.3358385322304588e-06 8.027697625599214e-08 0.0007992980845511888 1.1474654124057832e-14 3.827282629752866e-12 3.5383305531228744e-13
0.32569174525058875 1.067159074722661e-15 4.416788467019187e-17 1.430102749741546e-14 1.5906707111663412e-15 1.813627837306569e-21 5.95418714047913e-17 9.359759098677012e-40 5.445796391404209e-15 2.962229608925073e-14 4.2332596106699377e-13 6.839552786549194e-05 0.00031747495125101133 1.3358385320026002e-06 8.027697613338645e-08 0.0007992980845511884 1.1474594321854339e-14 3.8271760282419175e-12 4.468743508238916e-13
