Tref MgSiO3(s) Mg SiO H2O H2 Si O SiO2(s) Mg2SiO4(s) Fe FeO(s) Fe2O3(s) FeS(s) H2S Ca TiO Al TiO2(s) Al2O3(s) MgO(s) Fe(s)
# Gibbs formation energt at 1bar. The unit is kJ/mol. From janaf.nist.gov. ZnS from Robie & Hemingway (1995)
600 -1374 78 -154 -214 0 360 213 -801 -1937 324 -232 -663 -103 -42 110 -5 248 -834 -1487 -536 0
700 -1345 67 -162 -209 0 346 207 -783 -1898 309 -225 -637 -104 -44 100 -14 235 -816 -1456 -526 0
800 -1316 56 -171 -203 0 331 201 -765 -1858 294 -219 -611 -104 -46 89 -23 222 -798 -1424 -515 0
900 -1287 45 -179 -198 0 301 194 -747 -1819 279 -213 -586 -103 -46 79 -32 209 -780 -1394 -504 0
1000 -1258 35 -187 -192 0 301 188 -730 -1778 265 -207 -562 -98 -41 69 -42 197 -762 -1361 -493 0
1100 -1228 25 -196 -187 0 287 181 -713 -1738 250 -201 -537 -92 -36 59 -50 185 -745 -1328 -481 0
1200 -1199 16 -204 -181 0 272 175 -695 -1697 236 -194 -512 -86 -31 50 -59 174 -727 -1295 -470 0
1300 -1170 6 -212 -176 0 258 168 -678 -1656 223 -188 -488 -80 -26 41 -68 162 -709 -1262 -458 0
1400 -1138 0 -220 -170 0 243 161 -661 -1610 209 -182 -463 -74 -21 32 -76 151 -691 -1229 -444 0
1500 -1099 0 -228 -164 0 229 155 -644 -1550 196 -175 -438 -69 -16 23 -84 140 -674 -1197 -423 0
1600 -1061 0 -235 -159 0 214 148 -626 -1492 182 -169 -414 -65 -11 15 -92 129 -656 -1164 -402 0
1700 -1022 0 -243 -153 0 201 142 -609 -1433 169 -164 -390 -62 -6 6 -100 118 -638 -1131 -381 0
1800 -981 0 -247 -147 0 189 135 -590 -1372 156 -159 -365 -58 -1 0 -108 106 -621 -1099 -361 0
1900 -942 0 -252 -141 0 178 128 -570 -1311 143 -154 -339 -54 4 0 -116 96 -603 -1066 -340 0
2000 -906 0 -257 -135 0 167 122 -551 -1251 131 -148 -313 -50 8 0 -123 85 -586 -1034 -320 0
2100 -869 0 -261 -130 0 156 115 -532 -1190 119 -143 -287 -45 14 0 -130 74 -567 -1002 -300 0
2200 -833 0 -266 -124 0 144 108 -513 -1132 107 -138 -261 -41 18 0 -137 63 -551 -970 -280 0
2300 -797 0 -270 -118 0 133 101 -494 -1075 95 -132 -236 -36 23 0 -144 52 -536 -938 -259 0
2400 -761 0 -275 -112 0 122 95 -475 -1019 84 -127 -210 -32 28 0 -150 41 -521 -909 -239 0
2500 -725 0 -279 -106 0 111 88 -456 -963 72 -122 -184 -28 33 0 -156 31 -506 -882 -219 0
2600 -699 0 -284 -100 0 100 81 -437 -907 60 -116 -134 -23 38 0 -163 74 -491 -856 -199 0
2700 -654 0 -288 -95 0 89 74 -419 -852 49 -111 -105 -19 43 0 -169 63 -476 -829 -180 0
2800 -619 0 -292 -89 0 78 68 -400 -797 38 -106 -74 -14 48 0 -175 52 -462 -801 -160 0
2900 -584 0 -297 -83 0 66 61 -382 -742 26 -101 -47 -10 53 0 -181 41 -447 -754 -140 0
3000 -549 0 -301 -77 0 56 54 -363 -687 15 -95 -18 -5 58 0 -187 31 -432 -708 -120 0
