ZnS(s) from Robie and Hemingway (1995) (not from JANAF)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
300	45.82	58.98	58.70	0.28	-268.4	-239.3	41.66
400	48.30	72.53	60.53	12.00	-267.9	-229.7	29.99
500	49.93	83.50	64.06	19.43	-267.4	-220.2	23.00
600	51.12	92.71	68.09	24.62	-266.9	-210.7	18.35
700	52.04	100.66	72.19	28.47	-273.8	-201.3	15.02
800	52.79	107.66	76.19	31.47	-273.5	-191.0	12.47
900	53.42	113.92	80.04	33.87	-273.2	-180.7	10.49
1000	53.96	119.57	83.72	35.85	-272.8	-170.4	8.90
1100	54.43	127.74	87.22	37.52	-272.4	-160.2	7.61
1200	54.85	129.49	90.54	38.95	-387.1	-148.1	6.45
1300	55.23	133.90	93.71	40.19	-385.6	-128.2	5.15
